dataset=cifar10, noise_type=sym, filp_rate=0.1, seed=1, time=1421
dataset=krkp, noise_type=sym, filp_rate=0.1, seed=1, time=8
dataset=krkp, noise_type=sym, filp_rate=0.2, seed=1, time=9
dataset=krkp, noise_type=sym, filp_rate=0.3, seed=1, time=8
dataset=krkp, noise_type=instance, filp_rate=0.0, seed=1, time=8
dataset=krkp, noise_type=instance, filp_rate=0.1, seed=1, time=9
dataset=krkp, noise_type=instance, filp_rate=0.2, seed=1, time=8
dataset=krkp, noise_type=instance, filp_rate=0.3, seed=1, time=9
dataset=krkp, noise_type=pair, filp_rate=0.1, seed=1, time=8
dataset=krkp, noise_type=pair, filp_rate=0.2, seed=1, time=9
dataset=krkp, noise_type=pair, filp_rate=0.3, seed=1, time=8
dataset=splice, noise_type=sym, filp_rate=0.1, seed=1, time=8
dataset=splice, noise_type=sym, filp_rate=0.2, seed=1, time=9
dataset=splice, noise_type=sym, filp_rate=0.3, seed=1, time=8
dataset=splice, noise_type=instance, filp_rate=0.0, seed=1, time=9
dataset=splice, noise_type=instance, filp_rate=0.1, seed=1, time=9
dataset=splice, noise_type=instance, filp_rate=0.2, seed=1, time=10
dataset=splice, noise_type=instance, filp_rate=0.3, seed=1, time=9
dataset=splice, noise_type=pair, filp_rate=0.1, seed=1, time=8
dataset=splice, noise_type=pair, filp_rate=0.2, seed=1, time=9
dataset=splice, noise_type=pair, filp_rate=0.3, seed=1, time=8
dataset=secstr, noise_type=sym, filp_rate=0.1, seed=1, time=117
dataset=secstr, noise_type=sym, filp_rate=0.2, seed=1, time=121
dataset=secstr, noise_type=sym, filp_rate=0.3, seed=1, time=118
dataset=secstr, noise_type=instance, filp_rate=0.0, seed=1, time=130
dataset=secstr, noise_type=instance, filp_rate=0.1, seed=1, time=124
dataset=secstr, noise_type=instance, filp_rate=0.2, seed=1, time=132
dataset=secstr, noise_type=instance, filp_rate=0.3, seed=1, time=129
dataset=secstr, noise_type=pair, filp_rate=0.1, seed=1, time=114
dataset=secstr, noise_type=pair, filp_rate=0.2, seed=1, time=118
dataset=secstr, noise_type=pair, filp_rate=0.3, seed=1, time=115
dataset=pair0070, noise_type=sym, filp_rate=0.1, seed=1, time=8
dataset=pair0070, noise_type=sym, filp_rate=0.2, seed=1, time=9
dataset=pair0070, noise_type=sym, filp_rate=0.3, seed=1, time=9
dataset=pair0070, noise_type=instance, filp_rate=0.0, seed=1, time=9
dataset=pair0070, noise_type=instance, filp_rate=0.1, seed=1, time=9
dataset=pair0070, noise_type=instance, filp_rate=0.2, seed=1, time=9
dataset=pair0070, noise_type=instance, filp_rate=0.3, seed=1, time=9
dataset=pair0070, noise_type=pair, filp_rate=0.1, seed=1, time=9
dataset=pair0070, noise_type=pair, filp_rate=0.2, seed=1, time=9
dataset=pair0070, noise_type=pair, filp_rate=0.3, seed=1, time=8
dataset=pair0071, noise_type=sym, filp_rate=0.1, seed=1, time=3
dataset=pair0071, noise_type=sym, filp_rate=0.2, seed=1, time=4
dataset=pair0071, noise_type=sym, filp_rate=0.3, seed=1, time=3
dataset=pair0071, noise_type=instance, filp_rate=0.0, seed=1, time=3
dataset=pair0071, noise_type=instance, filp_rate=0.1, seed=1, time=4
dataset=pair0071, noise_type=instance, filp_rate=0.2, seed=1, time=3
dataset=pair0071, noise_type=instance, filp_rate=0.3, seed=1, time=3
dataset=pair0071, noise_type=pair, filp_rate=0.1, seed=1, time=4
dataset=pair0071, noise_type=pair, filp_rate=0.2, seed=1, time=3
dataset=pair0071, noise_type=pair, filp_rate=0.3, seed=1, time=3
dataset=pair0107, noise_type=sym, filp_rate=0.1, seed=1, time=4
dataset=pair0107, noise_type=sym, filp_rate=0.2, seed=1, time=3
dataset=pair0107, noise_type=sym, filp_rate=0.3, seed=1, time=4
dataset=pair0107, noise_type=instance, filp_rate=0.0, seed=1, time=3
dataset=pair0107, noise_type=instance, filp_rate=0.1, seed=1, time=3
dataset=pair0107, noise_type=instance, filp_rate=0.2, seed=1, time=4
dataset=pair0107, noise_type=instance, filp_rate=0.3, seed=1, time=4
dataset=pair0107, noise_type=pair, filp_rate=0.1, seed=1, time=3
dataset=pair0107, noise_type=pair, filp_rate=0.2, seed=1, time=4
dataset=pair0107, noise_type=pair, filp_rate=0.3, seed=1, time=3
dataset=wdbc, noise_type=sym, filp_rate=0.1, seed=1, time=5
dataset=wdbc, noise_type=sym, filp_rate=0.2, seed=1, time=5
dataset=wdbc, noise_type=sym, filp_rate=0.3, seed=1, time=4
dataset=wdbc, noise_type=instance, filp_rate=0.0, seed=1, time=5
dataset=wdbc, noise_type=instance, filp_rate=0.1, seed=1, time=5
dataset=wdbc, noise_type=instance, filp_rate=0.2, seed=1, time=5
dataset=wdbc, noise_type=instance, filp_rate=0.3, seed=1, time=5
dataset=wdbc, noise_type=pair, filp_rate=0.1, seed=1, time=5
dataset=wdbc, noise_type=pair, filp_rate=0.2, seed=1, time=5
dataset=wdbc, noise_type=pair, filp_rate=0.3, seed=1, time=5
dataset=letter, noise_type=sym, filp_rate=0.1, seed=1, time=72
dataset=letter, noise_type=sym, filp_rate=0.2, seed=1, time=68
dataset=letter, noise_type=sym, filp_rate=0.3, seed=1, time=75
dataset=letter, noise_type=instance, filp_rate=0.0, seed=1, time=71
dataset=letter, noise_type=instance, filp_rate=0.1, seed=1, time=73
dataset=letter, noise_type=instance, filp_rate=0.2, seed=1, time=72
dataset=letter, noise_type=instance, filp_rate=0.3, seed=1, time=72
dataset=letter, noise_type=pair, filp_rate=0.1, seed=1, time=69
dataset=letter, noise_type=pair, filp_rate=0.2, seed=1, time=73
dataset=letter, noise_type=pair, filp_rate=0.3, seed=1, time=69
dataset=breastcancer, noise_type=sym, filp_rate=0.1, seed=1, time=3
dataset=breastcancer, noise_type=sym, filp_rate=0.2, seed=1, time=4
dataset=breastcancer, noise_type=sym, filp_rate=0.3, seed=1, time=4
dataset=breastcancer, noise_type=instance, filp_rate=0.0, seed=1, time=3
dataset=breastcancer, noise_type=instance, filp_rate=0.1, seed=1, time=4
dataset=breastcancer, noise_type=instance, filp_rate=0.2, seed=1, time=4
dataset=breastcancer, noise_type=instance, filp_rate=0.3, seed=1, time=3
dataset=breastcancer, noise_type=pair, filp_rate=0.1, seed=1, time=4
dataset=breastcancer, noise_type=pair, filp_rate=0.2, seed=1, time=4
dataset=breastcancer, noise_type=pair, filp_rate=0.3, seed=1, time=3
dataset=coil, noise_type=sym, filp_rate=0.1, seed=1, time=8
dataset=coil, noise_type=sym, filp_rate=0.2, seed=1, time=8
dataset=coil, noise_type=sym, filp_rate=0.3, seed=1, time=7
dataset=coil, noise_type=instance, filp_rate=0.0, seed=1, time=8
dataset=coil, noise_type=instance, filp_rate=0.1, seed=1, time=8
dataset=coil, noise_type=instance, filp_rate=0.2, seed=1, time=9
dataset=coil, noise_type=instance, filp_rate=0.3, seed=1, time=8
dataset=coil, noise_type=pair, filp_rate=0.1, seed=1, time=8
dataset=coil, noise_type=pair, filp_rate=0.2, seed=1, time=8
dataset=coil, noise_type=pair, filp_rate=0.3, seed=1, time=7
dataset=g241c, noise_type=sym, filp_rate=0.1, seed=1, time=8
dataset=g241c, noise_type=sym, filp_rate=0.2, seed=1, time=8
dataset=g241c, noise_type=sym, filp_rate=0.3, seed=1, time=8
dataset=g241c, noise_type=instance, filp_rate=0.0, seed=1, time=7
dataset=g241c, noise_type=instance, filp_rate=0.1, seed=1, time=8
dataset=g241c, noise_type=instance, filp_rate=0.2, seed=1, time=8
dataset=g241c, noise_type=instance, filp_rate=0.3, seed=1, time=8
dataset=g241c, noise_type=pair, filp_rate=0.1, seed=1, time=8
dataset=g241c, noise_type=pair, filp_rate=0.2, seed=1, time=7
dataset=g241c, noise_type=pair, filp_rate=0.3, seed=1, time=8
dataset=iris, noise_type=sym, filp_rate=0.1, seed=1, time=4
dataset=iris, noise_type=sym, filp_rate=0.2, seed=1, time=3
dataset=iris, noise_type=sym, filp_rate=0.3, seed=1, time=4
dataset=iris, noise_type=instance, filp_rate=0.0, seed=1, time=3
dataset=iris, noise_type=instance, filp_rate=0.1, seed=1, time=4
dataset=iris, noise_type=instance, filp_rate=0.2, seed=1, time=3
dataset=iris, noise_type=instance, filp_rate=0.3, seed=1, time=4
dataset=iris, noise_type=pair, filp_rate=0.1, seed=1, time=3
dataset=iris, noise_type=pair, filp_rate=0.2, seed=1, time=4
dataset=iris, noise_type=pair, filp_rate=0.3, seed=1, time=3
dataset=mushroom, noise_type=sym, filp_rate=0.1, seed=1, time=11
dataset=mushroom, noise_type=sym, filp_rate=0.2, seed=1, time=11
dataset=mushroom, noise_type=sym, filp_rate=0.3, seed=1, time=11
dataset=mushroom, noise_type=instance, filp_rate=0.0, seed=1, time=12
dataset=mushroom, noise_type=instance, filp_rate=0.1, seed=1, time=12
dataset=mushroom, noise_type=instance, filp_rate=0.2, seed=1, time=12
dataset=mushroom, noise_type=instance, filp_rate=0.3, seed=1, time=11
dataset=mushroom, noise_type=pair, filp_rate=0.1, seed=1, time=12
dataset=mushroom, noise_type=pair, filp_rate=0.2, seed=1, time=12
dataset=mushroom, noise_type=pair, filp_rate=0.3, seed=1, time=11
dataset=segment, noise_type=sym, filp_rate=0.1, seed=1, time=4
dataset=segment, noise_type=sym, filp_rate=0.2, seed=1, time=3
dataset=segment, noise_type=sym, filp_rate=0.3, seed=1, time=4
dataset=segment, noise_type=instance, filp_rate=0.0, seed=1, time=3
dataset=segment, noise_type=instance, filp_rate=0.1, seed=1, time=4
dataset=segment, noise_type=instance, filp_rate=0.2, seed=1, time=4
dataset=segment, noise_type=instance, filp_rate=0.3, seed=1, time=3
dataset=segment, noise_type=pair, filp_rate=0.1, seed=1, time=4
dataset=segment, noise_type=pair, filp_rate=0.2, seed=1, time=4
dataset=segment, noise_type=pair, filp_rate=0.3, seed=1, time=3
dataset=pair0047, noise_type=sym, filp_rate=0.1, seed=1, time=3
dataset=pair0047, noise_type=sym, filp_rate=0.2, seed=1, time=4
dataset=pair0047, noise_type=sym, filp_rate=0.3, seed=1, time=3
dataset=pair0047, noise_type=instance, filp_rate=0.0, seed=1, time=3
dataset=pair0047, noise_type=instance, filp_rate=0.1, seed=1, time=3
dataset=pair0047, noise_type=instance, filp_rate=0.2, seed=1, time=3
dataset=pair0047, noise_type=instance, filp_rate=0.3, seed=1, time=3
dataset=pair0047, noise_type=pair, filp_rate=0.1, seed=1, time=4
dataset=pair0047, noise_type=pair, filp_rate=0.2, seed=1, time=3
dataset=pair0047, noise_type=pair, filp_rate=0.3, seed=1, time=3
dataset=usps, noise_type=sym, filp_rate=0.1, seed=1, time=7
dataset=usps, noise_type=sym, filp_rate=0.2, seed=1, time=7
dataset=usps, noise_type=sym, filp_rate=0.3, seed=1, time=7
dataset=usps, noise_type=instance, filp_rate=0.0, seed=1, time=8
dataset=usps, noise_type=instance, filp_rate=0.1, seed=1, time=8
dataset=usps, noise_type=instance, filp_rate=0.2, seed=1, time=7
dataset=usps, noise_type=instance, filp_rate=0.3, seed=1, time=8
dataset=usps, noise_type=pair, filp_rate=0.1, seed=1, time=7
dataset=usps, noise_type=pair, filp_rate=0.2, seed=1, time=7
dataset=usps, noise_type=pair, filp_rate=0.3, seed=1, time=7
dataset=waveform, noise_type=sym, filp_rate=0.1, seed=1, time=10
dataset=waveform, noise_type=sym, filp_rate=0.2, seed=1, time=10
dataset=waveform, noise_type=sym, filp_rate=0.3, seed=1, time=10
dataset=waveform, noise_type=instance, filp_rate=0.0, seed=1, time=11
dataset=waveform, noise_type=instance, filp_rate=0.1, seed=1, time=10
dataset=waveform, noise_type=instance, filp_rate=0.2, seed=1, time=11
dataset=waveform, noise_type=instance, filp_rate=0.3, seed=1, time=10
dataset=waveform, noise_type=pair, filp_rate=0.1, seed=1, time=11
dataset=waveform, noise_type=pair, filp_rate=0.2, seed=1, time=10
dataset=waveform, noise_type=pair, filp_rate=0.3, seed=1, time=10
dataset=digit1, noise_type=sym, filp_rate=0.1, seed=1, time=8
dataset=digit1, noise_type=sym, filp_rate=0.2, seed=1, time=8
dataset=digit1, noise_type=sym, filp_rate=0.3, seed=1, time=7
dataset=digit1, noise_type=instance, filp_rate=0.0, seed=1, time=8
dataset=digit1, noise_type=instance, filp_rate=0.1, seed=1, time=8
dataset=digit1, noise_type=instance, filp_rate=0.2, seed=1, time=8
dataset=digit1, noise_type=instance, filp_rate=0.3, seed=1, time=7
dataset=digit1, noise_type=pair, filp_rate=0.1, seed=1, time=8
dataset=digit1, noise_type=pair, filp_rate=0.2, seed=1, time=7
dataset=digit1, noise_type=pair, filp_rate=0.3, seed=1, time=8
dataset=cifar10, noise_type=sym, filp_rate=0.1, seed=2, time=176
dataset=cifar10, noise_type=sym, filp_rate=0.2, seed=2, time=177
dataset=cifar10, noise_type=sym, filp_rate=0.3, seed=2, time=176
dataset=cifar10, noise_type=instance, filp_rate=0.0, seed=2, time=184
dataset=cifar10, noise_type=instance, filp_rate=0.1, seed=2, time=184
dataset=cifar10, noise_type=instance, filp_rate=0.2, seed=2, time=182
dataset=cifar10, noise_type=instance, filp_rate=0.3, seed=2, time=182
dataset=cifar10, noise_type=pair, filp_rate=0.1, seed=2, time=179
dataset=cifar10, noise_type=pair, filp_rate=0.2, seed=2, time=180
dataset=cifar10, noise_type=pair, filp_rate=0.3, seed=2, time=178
dataset=xyguassian, noise_type=sym, filp_rate=0.1, seed=2, time=31
dataset=xyguassian, noise_type=sym, filp_rate=0.2, seed=2, time=33
dataset=xyguassian, noise_type=sym, filp_rate=0.3, seed=2, time=31
dataset=xyguassian, noise_type=instance, filp_rate=0.0, seed=2, time=34
dataset=xyguassian, noise_type=instance, filp_rate=0.1, seed=2, time=34
dataset=xyguassian, noise_type=instance, filp_rate=0.2, seed=2, time=34
dataset=xyguassian, noise_type=instance, filp_rate=0.3, seed=2, time=34
dataset=xyguassian, noise_type=pair, filp_rate=0.1, seed=2, time=31
dataset=xyguassian, noise_type=pair, filp_rate=0.2, seed=2, time=30
dataset=xyguassian, noise_type=pair, filp_rate=0.3, seed=2, time=33
dataset=yxguassian, noise_type=sym, filp_rate=0.1, seed=2, time=31
dataset=yxguassian, noise_type=sym, filp_rate=0.2, seed=2, time=32
dataset=yxguassian, noise_type=sym, filp_rate=0.3, seed=2, time=30
dataset=yxguassian, noise_type=instance, filp_rate=0.0, seed=2, time=34
dataset=yxguassian, noise_type=instance, filp_rate=0.1, seed=2, time=33
dataset=yxguassian, noise_type=instance, filp_rate=0.2, seed=2, time=33
dataset=yxguassian, noise_type=instance, filp_rate=0.3, seed=2, time=35
dataset=yxguassian, noise_type=pair, filp_rate=0.1, seed=2, time=30
dataset=yxguassian, noise_type=pair, filp_rate=0.2, seed=2, time=31
dataset=yxguassian, noise_type=pair, filp_rate=0.3, seed=2, time=31
dataset=krkp, noise_type=sym, filp_rate=0.1, seed=2, time=8
dataset=krkp, noise_type=sym, filp_rate=0.2, seed=2, time=7
dataset=krkp, noise_type=sym, filp_rate=0.3, seed=2, time=8
dataset=krkp, noise_type=instance, filp_rate=0.0, seed=2, time=8
dataset=krkp, noise_type=instance, filp_rate=0.1, seed=2, time=9
dataset=krkp, noise_type=instance, filp_rate=0.2, seed=2, time=8
dataset=krkp, noise_type=instance, filp_rate=0.3, seed=2, time=9
dataset=krkp, noise_type=pair, filp_rate=0.1, seed=2, time=7
dataset=krkp, noise_type=pair, filp_rate=0.2, seed=2, time=7
dataset=krkp, noise_type=pair, filp_rate=0.3, seed=2, time=8
dataset=splice, noise_type=sym, filp_rate=0.1, seed=2, time=9
dataset=splice, noise_type=sym, filp_rate=0.2, seed=2, time=8
dataset=splice, noise_type=sym, filp_rate=0.3, seed=2, time=9
dataset=splice, noise_type=instance, filp_rate=0.0, seed=2, time=9
dataset=splice, noise_type=instance, filp_rate=0.1, seed=2, time=9
dataset=splice, noise_type=instance, filp_rate=0.2, seed=2, time=10
dataset=splice, noise_type=instance, filp_rate=0.3, seed=2, time=9
dataset=splice, noise_type=pair, filp_rate=0.1, seed=2, time=9
dataset=splice, noise_type=pair, filp_rate=0.2, seed=2, time=9
dataset=splice, noise_type=pair, filp_rate=0.3, seed=2, time=8
dataset=secstr, noise_type=sym, filp_rate=0.1, seed=2, time=119
dataset=secstr, noise_type=sym, filp_rate=0.2, seed=2, time=120
dataset=secstr, noise_type=sym, filp_rate=0.3, seed=2, time=115
dataset=secstr, noise_type=instance, filp_rate=0.0, seed=2, time=125
dataset=secstr, noise_type=instance, filp_rate=0.1, seed=2, time=133
dataset=secstr, noise_type=instance, filp_rate=0.2, seed=2, time=128
dataset=secstr, noise_type=instance, filp_rate=0.3, seed=2, time=123
dataset=secstr, noise_type=pair, filp_rate=0.1, seed=2, time=119
dataset=secstr, noise_type=pair, filp_rate=0.2, seed=2, time=117
dataset=secstr, noise_type=pair, filp_rate=0.3, seed=2, time=114
dataset=pair0070, noise_type=sym, filp_rate=0.1, seed=2, time=8
dataset=pair0070, noise_type=sym, filp_rate=0.2, seed=2, time=9
dataset=pair0070, noise_type=sym, filp_rate=0.3, seed=2, time=8
dataset=pair0070, noise_type=instance, filp_rate=0.0, seed=2, time=9
dataset=pair0070, noise_type=instance, filp_rate=0.1, seed=2, time=9
dataset=pair0070, noise_type=instance, filp_rate=0.2, seed=2, time=9
dataset=pair0070, noise_type=instance, filp_rate=0.3, seed=2, time=9
dataset=pair0070, noise_type=pair, filp_rate=0.1, seed=2, time=8
dataset=pair0070, noise_type=pair, filp_rate=0.2, seed=2, time=9
dataset=pair0070, noise_type=pair, filp_rate=0.3, seed=2, time=9
dataset=pair0071, noise_type=sym, filp_rate=0.1, seed=2, time=3
dataset=pair0071, noise_type=sym, filp_rate=0.2, seed=2, time=4
dataset=pair0071, noise_type=sym, filp_rate=0.3, seed=2, time=3
dataset=pair0071, noise_type=instance, filp_rate=0.0, seed=2, time=4
dataset=pair0071, noise_type=instance, filp_rate=0.1, seed=2, time=3
dataset=pair0071, noise_type=instance, filp_rate=0.2, seed=2, time=4
dataset=pair0071, noise_type=instance, filp_rate=0.3, seed=2, time=3
dataset=pair0071, noise_type=pair, filp_rate=0.1, seed=2, time=3
dataset=pair0071, noise_type=pair, filp_rate=0.2, seed=2, time=4
dataset=pair0071, noise_type=pair, filp_rate=0.3, seed=2, time=3
dataset=pair0107, noise_type=sym, filp_rate=0.1, seed=2, time=3
dataset=pair0107, noise_type=sym, filp_rate=0.2, seed=2, time=4
dataset=pair0107, noise_type=sym, filp_rate=0.3, seed=2, time=3
dataset=pair0107, noise_type=instance, filp_rate=0.0, seed=2, time=4
dataset=pair0107, noise_type=instance, filp_rate=0.1, seed=2, time=3
dataset=pair0107, noise_type=instance, filp_rate=0.2, seed=2, time=4
dataset=pair0107, noise_type=instance, filp_rate=0.3, seed=2, time=3
dataset=pair0107, noise_type=pair, filp_rate=0.1, seed=2, time=4
dataset=pair0107, noise_type=pair, filp_rate=0.2, seed=2, time=3
dataset=pair0107, noise_type=pair, filp_rate=0.3, seed=2, time=4
dataset=wdbc, noise_type=sym, filp_rate=0.1, seed=2, time=4
dataset=wdbc, noise_type=sym, filp_rate=0.2, seed=2, time=5
dataset=wdbc, noise_type=sym, filp_rate=0.3, seed=2, time=5
dataset=wdbc, noise_type=instance, filp_rate=0.0, seed=2, time=5
dataset=wdbc, noise_type=instance, filp_rate=0.1, seed=2, time=4
dataset=wdbc, noise_type=instance, filp_rate=0.2, seed=2, time=5
dataset=wdbc, noise_type=instance, filp_rate=0.3, seed=2, time=5
dataset=wdbc, noise_type=pair, filp_rate=0.1, seed=2, time=5
dataset=wdbc, noise_type=pair, filp_rate=0.2, seed=2, time=5
dataset=wdbc, noise_type=pair, filp_rate=0.3, seed=2, time=4
dataset=letter, noise_type=sym, filp_rate=0.1, seed=2, time=72
dataset=letter, noise_type=sym, filp_rate=0.2, seed=2, time=70
dataset=letter, noise_type=sym, filp_rate=0.3, seed=2, time=68
dataset=letter, noise_type=instance, filp_rate=0.0, seed=2, time=80
dataset=letter, noise_type=instance, filp_rate=0.1, seed=2, time=71
dataset=letter, noise_type=instance, filp_rate=0.2, seed=2, time=75
dataset=letter, noise_type=instance, filp_rate=0.3, seed=2, time=70
dataset=letter, noise_type=pair, filp_rate=0.1, seed=2, time=71
dataset=letter, noise_type=pair, filp_rate=0.2, seed=2, time=68
dataset=letter, noise_type=pair, filp_rate=0.3, seed=2, time=67
dataset=breastcancer, noise_type=sym, filp_rate=0.1, seed=2, time=4
dataset=breastcancer, noise_type=sym, filp_rate=0.2, seed=2, time=4
dataset=breastcancer, noise_type=sym, filp_rate=0.3, seed=2, time=3
dataset=breastcancer, noise_type=instance, filp_rate=0.0, seed=2, time=4
dataset=breastcancer, noise_type=instance, filp_rate=0.1, seed=2, time=3
dataset=breastcancer, noise_type=instance, filp_rate=0.2, seed=2, time=4
dataset=breastcancer, noise_type=instance, filp_rate=0.3, seed=2, time=4
dataset=breastcancer, noise_type=pair, filp_rate=0.1, seed=2, time=3
dataset=breastcancer, noise_type=pair, filp_rate=0.2, seed=2, time=4
dataset=breastcancer, noise_type=pair, filp_rate=0.3, seed=2, time=4
dataset=coil, noise_type=sym, filp_rate=0.1, seed=2, time=8
dataset=coil, noise_type=sym, filp_rate=0.2, seed=2, time=8
dataset=coil, noise_type=sym, filp_rate=0.3, seed=2, time=7
dataset=coil, noise_type=instance, filp_rate=0.0, seed=2, time=8
dataset=coil, noise_type=instance, filp_rate=0.1, seed=2, time=8
dataset=coil, noise_type=instance, filp_rate=0.2, seed=2, time=8
dataset=coil, noise_type=instance, filp_rate=0.3, seed=2, time=8
dataset=coil, noise_type=pair, filp_rate=0.1, seed=2, time=8
dataset=coil, noise_type=pair, filp_rate=0.2, seed=2, time=7
dataset=coil, noise_type=pair, filp_rate=0.3, seed=2, time=8
dataset=g241c, noise_type=sym, filp_rate=0.1, seed=2, time=7
dataset=g241c, noise_type=sym, filp_rate=0.2, seed=2, time=8
dataset=g241c, noise_type=sym, filp_rate=0.3, seed=2, time=8
dataset=g241c, noise_type=instance, filp_rate=0.0, seed=2, time=8
dataset=g241c, noise_type=instance, filp_rate=0.1, seed=2, time=8
dataset=g241c, noise_type=instance, filp_rate=0.2, seed=2, time=8
dataset=g241c, noise_type=instance, filp_rate=0.3, seed=2, time=8
dataset=g241c, noise_type=pair, filp_rate=0.1, seed=2, time=8
dataset=g241c, noise_type=pair, filp_rate=0.2, seed=2, time=8
dataset=g241c, noise_type=pair, filp_rate=0.3, seed=2, time=8
dataset=iris, noise_type=sym, filp_rate=0.1, seed=2, time=3
dataset=iris, noise_type=sym, filp_rate=0.2, seed=2, time=4
dataset=iris, noise_type=sym, filp_rate=0.3, seed=2, time=3
dataset=iris, noise_type=instance, filp_rate=0.0, seed=2, time=4
dataset=iris, noise_type=instance, filp_rate=0.1, seed=2, time=3
dataset=iris, noise_type=instance, filp_rate=0.2, seed=2, time=3
dataset=iris, noise_type=instance, filp_rate=0.3, seed=2, time=4
dataset=iris, noise_type=pair, filp_rate=0.1, seed=2, time=3
dataset=iris, noise_type=pair, filp_rate=0.2, seed=2, time=4
dataset=iris, noise_type=pair, filp_rate=0.3, seed=2, time=3
dataset=mushroom, noise_type=sym, filp_rate=0.1, seed=2, time=11
dataset=mushroom, noise_type=sym, filp_rate=0.2, seed=2, time=11
dataset=mushroom, noise_type=sym, filp_rate=0.3, seed=2, time=11
dataset=mushroom, noise_type=instance, filp_rate=0.0, seed=2, time=11
dataset=mushroom, noise_type=instance, filp_rate=0.1, seed=2, time=13
dataset=mushroom, noise_type=instance, filp_rate=0.2, seed=2, time=12
dataset=mushroom, noise_type=instance, filp_rate=0.3, seed=2, time=12
dataset=mushroom, noise_type=pair, filp_rate=0.1, seed=2, time=11
dataset=mushroom, noise_type=pair, filp_rate=0.2, seed=2, time=12
dataset=mushroom, noise_type=pair, filp_rate=0.3, seed=2, time=11
dataset=segment, noise_type=sym, filp_rate=0.1, seed=2, time=4
dataset=segment, noise_type=sym, filp_rate=0.2, seed=2, time=3
dataset=segment, noise_type=sym, filp_rate=0.3, seed=2, time=4
dataset=segment, noise_type=instance, filp_rate=0.0, seed=2, time=3
dataset=segment, noise_type=instance, filp_rate=0.1, seed=2, time=4
dataset=segment, noise_type=instance, filp_rate=0.2, seed=2, time=4
dataset=segment, noise_type=instance, filp_rate=0.3, seed=2, time=3
dataset=segment, noise_type=pair, filp_rate=0.1, seed=2, time=4
dataset=segment, noise_type=pair, filp_rate=0.2, seed=2, time=4
dataset=segment, noise_type=pair, filp_rate=0.3, seed=2, time=3
dataset=pair0047, noise_type=sym, filp_rate=0.1, seed=2, time=4
dataset=pair0047, noise_type=sym, filp_rate=0.2, seed=2, time=3
dataset=pair0047, noise_type=sym, filp_rate=0.3, seed=2, time=3
dataset=pair0047, noise_type=instance, filp_rate=0.0, seed=2, time=3
dataset=pair0047, noise_type=instance, filp_rate=0.1, seed=2, time=3
dataset=pair0047, noise_type=instance, filp_rate=0.2, seed=2, time=3
dataset=pair0047, noise_type=instance, filp_rate=0.3, seed=2, time=4
dataset=pair0047, noise_type=pair, filp_rate=0.1, seed=2, time=3
dataset=pair0047, noise_type=pair, filp_rate=0.2, seed=2, time=3
dataset=pair0047, noise_type=pair, filp_rate=0.3, seed=2, time=3
dataset=usps, noise_type=sym, filp_rate=0.1, seed=2, time=7
dataset=usps, noise_type=sym, filp_rate=0.2, seed=2, time=7
dataset=usps, noise_type=sym, filp_rate=0.3, seed=2, time=7
dataset=usps, noise_type=instance, filp_rate=0.0, seed=2, time=8
